N,P,Q,Res P,Res Q
9234800,31069,9203731,19,1
9234800,31147,9203653,7,13
9234800,31159,9203641,19,1
9234800,31183,9203617,13,7
9234800,31231,9203569,1,19
9234800,31387,9203413,7,13
9234800,31513,9203287,13,7
9234800,31699,9203101,19,1
9234800,31729,9203071,19,1
9234800,32083,9202717,13,7
9234800,32203,9202597,13,7
9234800,32323,9202477,13,7
9234800,32353,9202447,13,7
9234800,32371,9202429,1,19
9234800,32533,9202267,13,7
9234800,32653,9202147,13,7
9234800,32713,9202087,13,7
9234800,32749,9202051,19,1
9234800,32917,9201883,7,13
9234800,33037,9201763,7,13
9234800,33073,9201727,13,7
9234800,33199,9201601,19,1
9234800,33409,9201391,19,1
9234800,33493,9201307,13,7
9234800,33547,9201253,7,13
9234800,33589,9201211,19,1
9234800,33679,9201121,19,1
9234800,33871,9200929,1,19
9234800,33997,9200803,7,13
9234800,34039,9200761,19,1
9234800,34351,9200449,1,19
9234800,34369,9200431,19,1
9234800,34471,9200329,1,19
9234800,34513,9200287,13,7
9234800,34729,9200071,19,1
9234800,34747,9200053,7,13
9234800,35059,9199741,19,1
9234800,35089,9199711,19,1
9234800,35221,9199579,1,19
9234800,35227,9199573,7,13
9234800,35257,9199543,7,13
9234800,35521,9199279,1,19
9234800,35593,9199207,13,7
9234800,35677,9199123,7,13
9234800,35839,9198961,19,1
9234800,35899,9198901,19,1
9234800,35977,9198823,7,13
9234800,35983,9198817,13,7
9234800,36073,9198727,13,7
9234800,36097,9198703,7,13
9234800,36109,9198691,19,1
9234800,36187,9198613,7,13
9234800,36229,9198571,19,1
9234800,36241,9198559,1,19
9234800,36313,9198487,13,7
9234800,36343,9198457,13,7
9234800,36469,9198331,19,1
9234800,36643,9198157,13,7
9234800,36781,9198019,1,19
9234800,36931,9197869,1,19
9234800,37039,9197761,19,1
9234800,37201,9197599,1,19
9234800,37483,9197317,13,7
9234800,37561,9197239,1,19
9234800,37567,9197233,7,13
9234800,37861,9196939,1,19
9234800,37993,9196807,13,7
9234800,38047,9196753,7,13
9234800,38167,9196633,7,13
9234800,38449,9196351,19,1
9234800,38461,9196339,1,19
9234800,38593,9196207,13,7
9234800,38707,9196093,7,13
9234800,38713,9196087,13,7
9234800,38737,9196063,7,13
9234800,38791,9196009,1,19
9234800,39043,9195757,13,7
9234800,39139,9195661,19,1
9234800,39181,9195619,1,19
9234800,39217,9195583,7,13
9234800,39241,9195559,1,19
9234800,39343,9195457,13,7
9234800,39373,9195427,13,7
9234800,39511,9195289,1,19
9234800,39667,9195133,7,13
9234800,39703,9195097,13,7
9234800,39829,9194971,19,1
9234800,39979,9194821,19,1
9234800,40123,9194677,13,7
9234800,40177,9194623,7,13
9234800,40213,9194587,13,7
9234800,40357,9194443,7,13
9234800,40423,9194377,13,7
9234800,40471,9194329,1,19
9234800,40597,9194203,7,13
9234800,40609,9194191,19,1
9234800,40903,9193897,13,7
9234800,40933,9193867,13,7
9234800,41113,9193687,13,7
9234800,41131,9193669,1,19
9234800,41227,9193573,7,13
9234800,41257,9193543,7,13
9234800,41269,9193531,19,1
9234800,41389,9193411,19,1
9234800,41611,9193189,1,19
9234800,41851,9192949,1,19
9234800,42073,9192727,13,7
9234800,42139,9192661,19,1
9234800,42157,9192643,7,13
9234800,42181,9192619,1,19
9234800,42193,9192607,13,7
9234800,42223,9192577,13,7
9234800,42307,9192493,7,13
9234800,42349,9192451,19,1
9234800,42457,9192343,7,13
9234800,42499,9192301,19,1
9234800,42571,9192229,1,19
